关节外科诊室在什么地方？,2楼2区
张志成医生在哪个科室？,关节外科
周四上午徐林森医生值班吗？,不值班
张成俊医生办公室在哪里？,2楼2区（骨科）
周五下午姜岸医生值班吗？,不值班
神经外科诊室在什么地方？,2楼3区
费思鞭医生在哪个科室？,神经外科
周三上午狄外医生值班吗？,不值班
莫方楠医生办公室在哪里？,2楼3区（肺外科）
亚托若医生周五上午值班吗？,不值班
2楼1区的普通外科有哪些医生？,杨沈仪、路垚
徐林森医生在周几下午值班？,周二下午
王淳煜医生周四上午值班吗？,不值班
赵子星医生在周几值班？,周二上午、周二下午、周四上午
余亚军医生在哪个科室？,关节外科
姜岸医生周六上午值班吗？,不值班
晓八医生在周几值班？,周一上午
心脏外科诊室在什么地方？,2楼3区
莫方楠医生周日上午值班吗？,不值班
亚托若医生在周几值班？,周四上午、周四下午
杨沈仪医生周四下午值班吗？,不值班
路垚医生在哪些时段值班？,周一上午、周一下午、周二下午、周三下午
徐林森医生在哪个科室？,结直肠外科
王淳煜医生周五上午值班吗？,值班
赵子星医生周四上午值班吗？,值班
余亚军医生周五上午值班吗？,不值班
张志成医生在周几值班？,周二上午、周二下午、周四上午、周四下午、周五上午、周五下午、周日上午
张成俊医生周四上午值班吗？,不值班
莫言医生在哪个科室？,脊柱外科
姜岸医生周六上午值班吗？,不值班
晓八医生在周六上午值班吗？,不值班
费思鞭医生周三上午值班吗？,不值班
狄外医生在周几下午值班？,周一下午
亚托若医生周日上午值班吗？,不值班
赵梦瑶医生在周一上午值班吗？,值班
陆雪琪医生在哪个科室？,普通外科
黄思洁医生在周五上午值班吗？,不值班
柳岚医生周三上午值班吗？,值班
林峰医生在哪个科室？,关节外科
朱元璋医生周四上午值班吗？,不值班
杨洪基医生在哪个科室？,骨科
刘京医生周五下午值班吗？,不值班
冯浩医生在周一下午值班吗？,不值班
孙悟空医生周三下午值班吗？,值班
猪八戒医生在哪个科室？,神经外科
唐僧医生周四上午值班吗？,不值班
白龙马医生在周几值班？,周一下午、周二下午、周四上午、周六上午
沙悟净医生周日上午值班吗？,值班
赵梦瑶医生周三下午值班吗？,不值班
陆雪琪医生周五上午值班吗？,不值班
黄思洁医生在哪些时段值班？,周一上午、周三上午、周三下午、周六上午
柳岚医生周六上午值班吗？,不值班
林峰医生周二下午值班吗？,不值班
朱元璋医生在周几值班？,周二下午、周三上午、周三下午、周五上午、周五下午
杨洪基医生周日上午值班吗？,不值班
刘京医生在哪个科室？,脊柱外科
冯浩医生周六上午值班吗？,不值班
孙悟空医生周五上午值班吗？,不值班
猪八戒医生周四上午值班吗？,值班
唐僧医生在哪个科室？,心脏外科
白龙马医生周六上午值班吗？,值班
沙悟净医生在周几值班？,周一上午、周二上午、周三上午、周四下午、周日上午
赵梦瑶医生周一下午值班吗？,不值班
陆雪琪医生周日上午值班吗？,值班
黄思洁医生周日上午值班吗？,不值班
柳岚医生在周几值班？,周一下午、周二上午、周三上午、周五上午
林峰医生周日上午值班吗？,不值班
胡天宇医生周三上午值班吗？,值班
陈晨医生在哪个科室？,普通外科
黄林医生周五上午值班吗？,不值班
徐杰医生周四下午值班吗？,值班
梁文韬医生在哪个科室？,麻醉科
高峰医生周五下午值班吗？,不值班
李晓东医生周三上午值班吗？,值班
周子涵医生在哪个科室？,骨科
蔡明医生周一上午值班吗？,不值班
郭强医生在周几值班？,周一上午、周二下午、周三上午、周四下午
许梦阳医生周二下午值班吗？,值班
胡天宇医生周四上午值班吗？,不值班
陈晨医生周六上午值班吗？,不值班
黄林医生周日上午值班吗？,不值班
徐杰医生周三下午值班吗？,不值班
梁文韬医生周四上午值班吗？,值班
高峰医生在周几值班？,周二下午、周三上午、周三下午、周四下午、周五上午
李晓东医生周六下午值班吗？,不值班
周子涵医生周五上午值班吗？,值班
蔡明医生在哪个科室？,脊柱外科
郭强医生周六上午值班吗？,不值班
许梦阳医生周四下午值班吗？,不值班
胡天宇医生在周几值班？,周一下午、周二下午、周三上午、周四下午、周日上午
陈晨医生周日上午值班吗？,不值班
黄林医生周二上午值班吗？,值班
徐杰医生周六上午值班吗？,值班
梁文韬医生周日上午值班吗？,不值班
高峰医生在哪个科室？,关节外科
李晓东医生周一下午值班吗？,不值班
周子涵医生周三上午值班吗？,不值班
蔡明医生周四上午值班吗？,不值班
郭强医生周六下午值班吗？,不值班
许梦阳医生周日上午值班吗？,不值班
